"state","stateab","year.x","electors","year.y","weeks_left","days_left","party","candidate","poll_date","poll_support","before_convention"
"Arizona","AZ",2024,11,2024,30,212,"DEM","Biden","2024-04-07",39.38585,TRUE
"Arizona","AZ",2024,11,2024,30,213,"REP","Trump","2024-04-06",43.91315,TRUE
"Arizona","AZ",2024,11,2024,30,213,"DEM","Biden","2024-04-06",39.42445,TRUE
"Arizona","AZ",2024,11,2024,31,214,"REP","Trump","2024-04-05",43.98255,TRUE
"Arizona","AZ",2024,11,2024,31,214,"DEM","Biden","2024-04-05",39.50075,TRUE
"Arizona","AZ",2024,11,2024,31,215,"REP","Trump","2024-04-04",44.06155,TRUE
"Arizona","AZ",2024,11,2024,31,215,"DEM","Biden","2024-04-04",39.50355,TRUE
"Arizona","AZ",2024,11,2024,31,216,"REP","Trump","2024-04-03",44.11655,TRUE
"Arizona","AZ",2024,11,2024,31,216,"DEM","Biden","2024-04-03",39.37855,TRUE
"Arizona","AZ",2024,11,2024,31,217,"REP","Trump","2024-04-02",44.09595,TRUE
"Arizona","AZ",2024,11,2024,31,217,"DEM","Biden","2024-04-02",38.96975,TRUE
"Arizona","AZ",2024,11,2024,31,218,"REP","Trump","2024-04-01",44.93825,TRUE
"Arizona","AZ",2024,11,2024,31,218,"DEM","Biden","2024-04-01",39.2541,TRUE
"Arizona","AZ",2024,11,2024,31,219,"REP","Trump","2024-03-31",44.9534,TRUE
"Arizona","AZ",2024,11,2024,31,219,"DEM","Biden","2024-03-31",39.27115,TRUE
"Arizona","AZ",2024,11,2024,31,220,"REP","Trump","2024-03-30",45.05135,TRUE
"Arizona","AZ",2024,11,2024,31,220,"DEM","Biden","2024-03-30",39.2182,TRUE
"Arizona","AZ",2024,11,2024,32,221,"REP","Trump","2024-03-29",44.9854,TRUE
"Arizona","AZ",2024,11,2024,32,221,"DEM","Biden","2024-03-29",39.23555,TRUE
"Arizona","AZ",2024,11,2024,32,222,"REP","Trump","2024-03-28",44.84555,TRUE
"Arizona","AZ",2024,11,2024,32,222,"DEM","Biden","2024-03-28",39.2392,TRUE
"Arizona","AZ",2024,11,2024,32,223,"REP","Trump","2024-03-27",44.92465,TRUE
"Arizona","AZ",2024,11,2024,32,223,"DEM","Biden","2024-03-27",39.24965,TRUE
"Arizona","AZ",2024,11,2024,12,87,"REP","Trump","2024-08-10",44.7732,FALSE
"Arizona","AZ",2024,11,2024,12,87,"DEM","Harris","2024-08-10",44.87855,TRUE
"Arizona","AZ",2024,11,2024,13,88,"REP","Trump","2024-08-09",44.84,FALSE
"Arizona","AZ",2024,11,2024,13,88,"DEM","Harris","2024-08-09",44.40375,TRUE
"Arizona","AZ",2024,11,2024,13,89,"REP","Trump","2024-08-08",44.79265,FALSE
"Arizona","AZ",2024,11,2024,13,89,"DEM","Harris","2024-08-08",44.34635,TRUE
"Arizona","AZ",2024,11,2024,13,90,"REP","Trump","2024-08-07",45.4138,FALSE
"Arizona","AZ",2024,11,2024,13,90,"DEM","Harris","2024-08-07",44.25895,TRUE
"Arizona","AZ",2024,11,2024,33,228,"REP","Trump","2024-03-22",44.68835,TRUE
"Arizona","AZ",2024,11,2024,33,228,"DEM","Biden","2024-03-22",39.1576,TRUE
"Arizona","AZ",2024,11,2024,33,229,"REP","Trump","2024-03-21",44.71585,TRUE
"Arizona","AZ",2024,11,2024,33,229,"DEM","Biden","2024-03-21",39.2998,TRUE
"Arizona","AZ",2024,11,2024,33,230,"REP","Trump","2024-03-20",44.5724,TRUE
"Arizona","AZ",2024,11,2024,33,230,"DEM","Biden","2024-03-20",39.18525,TRUE
"Arizona","AZ",2024,11,2024,33,231,"REP","Trump","2024-03-19",43.8463,TRUE
"Arizona","AZ",2024,11,2024,33,231,"DEM","Biden","2024-03-19",39.29845,TRUE
"Arizona","AZ",2024,11,2024,33,232,"REP","Trump","2024-03-18",44.2591,TRUE
"Arizona","AZ",2024,11,2024,33,232,"DEM","Biden","2024-03-18",39.61655,TRUE
"Arizona","AZ",2024,11,2024,33,233,"REP","Trump","2024-03-17",44.33085,TRUE
"Arizona","AZ",2024,11,2024,33,233,"DEM","Biden","2024-03-17",39.6901,TRUE
"Arizona","AZ",2024,11,2024,33,234,"REP","Trump","2024-03-16",44.2948,TRUE
"Arizona","AZ",2024,11,2024,33,234,"DEM","Biden","2024-03-16",39.5375,TRUE
"Arizona","AZ",2024,11,2024,34,235,"REP","Trump","2024-03-15",44.5181,TRUE
"Arizona","AZ",2024,11,2024,34,235,"DEM","Biden","2024-03-15",39.5037,TRUE
"Arizona","AZ",2024,11,2024,34,236,"REP","Trump","2024-03-14",44.633,TRUE
"Arizona","AZ",2024,11,2024,34,236,"DEM","Biden","2024-03-14",39.63865,TRUE
"Arizona","AZ",2024,11,2024,34,237,"REP","Trump","2024-03-13",44.35685,TRUE
"Arizona","AZ",2024,11,2024,34,237,"DEM","Biden","2024-03-13",39.78885,TRUE
"Arizona","AZ",2024,11,2024,34,238,"REP","Trump","2024-03-12",44.47935,TRUE
"Arizona","AZ",2024,11,2024,34,238,"DEM","Biden","2024-03-12",39.4402,TRUE
"Arizona","AZ",2024,11,2024,34,239,"REP","Trump","2024-03-11",44.48055,TRUE
"Arizona","AZ",2024,11,2024,34,239,"DEM","Biden","2024-03-11",38.8663,TRUE
"Arizona","AZ",2024,11,2024,34,240,"REP","Trump","2024-03-10",44.51855,TRUE
"Arizona","AZ",2024,11,2024,34,240,"DEM","Biden","2024-03-10",38.793,TRUE
"Arizona","AZ",2024,11,2024,34,241,"REP","Trump","2024-03-09",44.62995,TRUE
"Arizona","AZ",2024,11,2024,34,241,"DEM","Biden","2024-03-09",38.8428,TRUE
"Arizona","AZ",2024,11,2024,35,242,"REP","Trump","2024-03-08",44.6764,TRUE
"Arizona","AZ",2024,11,2024,35,242,"DEM","Biden","2024-03-08",38.8871,TRUE
"Arizona","AZ",2024,11,2024,35,243,"REP","Trump","2024-03-07",44.51965,TRUE
"Arizona","AZ",2024,11,2024,35,243,"DEM","Biden","2024-03-07",38.87005,TRUE
"Arizona","AZ",2024,11,2024,35,244,"REP","Trump","2024-03-06",44.2891,TRUE
"Arizona","AZ",2024,11,2024,35,244,"DEM","Biden","2024-03-06",38.3937,TRUE
"Arizona","AZ",2024,11,2024,35,245,"REP","Trump","2024-03-05",44.27195,TRUE
"Arizona","AZ",2024,11,2024,35,245,"DEM","Biden","2024-03-05",38.64955,TRUE
"Arizona","AZ",2024,11,2024,35,246,"REP","Trump","2024-03-04",44.2124,TRUE
"Arizona","AZ",2024,11,2024,35,246,"DEM","Biden","2024-03-04",38.69705,TRUE
"Arizona","AZ",2024,11,2024,35,247,"REP","Trump","2024-03-03",44.05525,TRUE
"Arizona","AZ",2024,11,2024,35,247,"DEM","Biden","2024-03-03",38.3711,TRUE
"Arizona","AZ",2024,11,2024,35,248,"REP","Trump","2024-03-02",43.713,TRUE
"Arizona","AZ",2024,11,2024,35,248,"DEM","Biden","2024-03-02",38.17665,TRUE
"Arizona","AZ",2024,11,2024,36,249,"REP","Trump","2024-03-01",43.6351,TRUE
"Arizona","AZ",2024,11,2024,36,249,"DEM","Biden","2024-03-01",38.2831,TRUE
"Arizona","AZ",2024,11,2024,18,128,"DEM","Biden","2024-06-30",38.91025,TRUE
"Arizona","AZ",2024,11,2024,18,129,"REP","Trump","2024-06-29",43.6417,TRUE
"Arizona","AZ",2024,11,2024,18,129,"DEM","Biden","2024-06-29",39.0009,TRUE
"Arizona","AZ",2024,11,2024,19,130,"REP","Trump","2024-06-28",43.44775,TRUE
"Arizona","AZ",2024,11,2024,19,130,"DEM","Biden","2024-06-28",39.1583,TRUE
"Arizona","AZ",2024,11,2024,19,131,"REP","Trump","2024-06-27",43.1371,TRUE
"Arizona","AZ",2024,11,2024,19,131,"DEM","Biden","2024-06-27",39.34955,TRUE
"Arizona","AZ",2024,11,2024,19,132,"REP","Trump","2024-06-26",42.81095,TRUE
"Arizona","AZ",2024,11,2024,19,132,"DEM","Biden","2024-06-26",39.6104,TRUE
"Arizona","AZ",2024,11,2024,19,133,"REP","Trump","2024-06-25",42.5741,TRUE
"Arizona","AZ",2024,11,2024,19,133,"DEM","Biden","2024-06-25",39.4886,TRUE
"Arizona","AZ",2024,11,2024,19,134,"REP","Trump","2024-06-24",42.56715,TRUE
"Arizona","AZ",2024,11,2024,19,134,"DEM","Biden","2024-06-24",39.5311,TRUE
"Arizona","AZ",2024,11,2024,19,135,"REP","Trump","2024-06-23",42.437,TRUE
"Arizona","AZ",2024,11,2024,19,135,"DEM","Biden","2024-06-23",39.64225,TRUE
